persona,query,status,headline_metric,cube_value,notes,window_start,window_end,brand_id
CEO,canonical_pnl_total_ad_spend,PASS,total_ad_spend,2420711.534376,exact_vs_dashboard,2026-06-21,2026-07-20,20
CEO,canonical_pnl_meta_spend,PASS,meta_spend,1715503.7,exact_vs_dashboard,2026-06-21,2026-07-20,20
CEO,canonical_pnl_google_spend,PASS,google_spend,565661.804376,exact_vs_dashboard,2026-06-21,2026-07-20,20
CEO,canonical_pnl_amazon_spend,PASS,amazon_spend,139546.03,exact_vs_dashboard,2026-06-21,2026-07-20,20
CEO,sales_all_channels_total_sales,PASS,total_sales,7389661,near_dashboard_7365881,2026-06-21,2026-07-20,20
CEO,orders_all_channels,PASS,orders,2822,shopify_2445_amazon_377,2026-06-21,2026-07-20,20
Commerce,commerce_orders,PASS,orders,2445,,2026-06-21,2026-07-20,20
Commerce,amazon_commerce_active_orders,PASS,active_orders,377,exact_vs_dashboard,2026-06-21,2026-07-20,20
Product,product_top_sku,PASS,units_sold,1457,Pawveralls,2026-06-21,2026-07-20,20
PaidMedia,meta_ads_spend,PASS,meta_spend,1715503.7,exact_vs_dashboard,2026-06-21,2026-07-20,20
PaidMedia,google_ads_spend,PASS,google_spend,565661.804376,exact_vs_dashboard,2026-06-21,2026-07-20,20
PaidMedia,amazon_ads_spend,PASS,amazon_ads_spend,139546.03,exact_vs_dashboard,2026-06-21,2026-07-20,20
Attribution,order_attr_last_touch_orders,PASS,attributed_orders,2050,countDistinct_fixed,2026-06-21,2026-07-20,20
Attribution,order_attr_linear_orders,PASS,attributed_orders,2050,equals_last_touch_after_countDistinct,2026-06-21,2026-07-20,20
Attribution,order_attr_linear_credit_rows,PASS,credit_rows,2743,credit_grain_diagnostic,2026-06-21,2026-07-20,20
Attribution,order_attr_net_revenue,PASS,attributed_net_revenue,2338215.4159,serve_view_fixed,2026-06-21,2026-07-20,20
Attribution,channel_attribution_meta_orders,PASS,orders,1423,fixed_was_6072_alias_shadowed_model_filter,2026-06-21,2026-07-20,20
Attribution,channel_attribution_shopify_total,PASS,orders,2050,reconciles_order_attribution_LT_and_commerce,2026-06-21,2026-07-20,20
Attribution,channel_attribution_amazon_total,PASS,orders,427,reconciles_amazon_total_orders,2026-06-21,2026-07-20,20
Customer,customer_ltv,PASS,customers,16928,lifetime_not_windowed,2026-06-21,2026-07-20,20
WebAnalytics,session_funnel,PASS,sessions,113141,,2026-06-21,2026-07-20,20
WebAnalytics,web_events,PASS,events,573847,backfilled_from_atomic,2026-06-21,2026-07-20,20
WebAnalytics,web_events_daily,PASS,events,573847,matches_event_grain,2026-06-21,2026-07-20,20
